"gene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Ube2cbp Mm"	1	1	1	1	"shared"
"Nsmce4a Mm"	1	1	1	1	"shared"
"Zfp131 Mm"	1	1	0	1	"shared"
"Zeb2 Mm"	1	1	1	1	"shared"
"Ufc1 Mm"	1	1	1	1	"shared"
"Ccdc84 Mm"	1	1	1	1	"shared"
"Zfp296 Mm"	1	1	1	1	"shared"
"Rpn1 Mm"	1	1	1	1	"shared"
"Tmem189 Mm"	1	1	1	1	"shared"
"Mtif2 Mm"	1	1	1	1	"shared"
"Ctdsp1 Mm"	1	0	1	1	"shared"
"Zcchc9 Mm"	1	1	1	1	"shared"
"Trappc11 Mm"	1	1	1	1	"shared"
"Rfk Mm"	1	1	0	1	"shared"
"Sco1 Mm"	1	1	1	1	"shared"
"Snip1 Mm"	1	1	1	1	"shared"
"Jak2 Mm"	1	1	0	1	"shared"
"Wdr92 Mm"	1	1	1	1	"shared"
"Pomp Mm"	1	1	0	1	"shared"
"Cdk5rap3 Mm"	1	1	1	1	"shared"
"Kdm1a Mm"	1	1	0	1	"shared"
"Smc6 Mm"	1	1	1	1	"shared"
"Trappc4 Mm"	1	1	0	1	"shared"
"Mvk Mm"	1	1	1	1	"shared"
"Ndc1 Mm"	1	1	1	1	"shared"
"Ankrd11 Mm"	1	1	1	1	"shared"
"Dnajc21 Mm"	1	0	1	1	"shared"
"Fbxw7 Mm"	0	1	1	1	"shared"
"Prdm4 Mm"	1	1	0	1	"shared"
"Mon2 Mm"	0	1	1	1	"shared"
"Gls Mm"	1	1	1	1	"shared"
"Fdx1l Mm"	1	1	1	1	"shared"
"Atp6ap2 Mm"	1	1	1	1	"shared"
"Dld Mm"	0	1	1	1	"shared"
"Plcl2 Mm"	0	0	1	1	"vivo_only"
"Sec62 Mm"	0	0	1	1	"vivo_only"
"Rpia Mm"	1	1	1	1	"shared"
"Slc20a1 Mm"	1	0	1	1	"shared"
"Taf1d Mm"	1	1	1	1	"shared"
"Fkbpl Mm"	1	1	1	1	"shared"
"Pgam1 Mm"	1	1	1	1	"shared"
"Lipt2 Mm"	0	1	1	1	"shared"
"Sco2 Mm"	1	1	1	1	"shared"
"Emc4 Mm"	1	1	1	1	"shared"
"Rbm28 Mm"	1	1	1	1	"shared"
"Pex19 Mm"	1	1	1	1	"shared"
"Romo1 Mm"	1	1	0	1	"shared"
"Tango6 Mm"	1	1	0	1	"shared"
"Abt1 Mm"	1	1	0	1	"shared"
"Kdm2a Mm"	1	1	1	1	"shared"
"Rbmx2 Mm"	1	1	1	1	"shared"
"Jarid2 Mm"	0	0	1	1	"vivo_only"
"Caml Mm"	1	1	1	1	"shared"
"Slc38a1 Mm"	1	1	1	1	"shared"
"Rpp21 Mm"	1	1	1	1	"shared"
"Adck4 Mm"	1	1	1	1	"shared"
"Gtpbp4 Mm"	1	1	0	1	"shared"
"Glrx5 Mm"	1	1	1	1	"shared"
"Rbm18 Mm"	1	1	0	1	"shared"
"Fli1 Mm"	1	1	0	1	"shared"
"Nop9 Mm"	1	1	0	1	"shared"
"Pcnp Mm"	1	1	1	0	"shared"
"Dynlrb1 Mm"	1	1	1	1	"shared"
"Zfp706 Mm"	1	1	1	1	"shared"
"Fastkd5 Mm"	1	1	1	1	"shared"
"Tipin Mm"	1	1	1	1	"shared"
