MR	NumUP	NumDN	Index_maVitro	Index_maVivo	Index_hmVitro	Index_hmVivo	Index_Focused
L1CAM	0	3	0	0	0	0	0
EDAR	0	3	0	0	0	0	0
LHX3	0	3	0	0	0	0	0
SHC3	0	1	0	0	0	0	0
CXCR5	0	3	0	0	0	0	0
OR1D2	0	2	0	0	0	0	0
SOX10	0	4	0	0	0	0	0
CCL13	0	3	0	0	0	0	0
CSDC2	0	2	0	0	0	0	0
DCBLD2	0	1	0	0	0	0	0
UNC5B	0	1	0	0	0	0	0
FGD1	0	2	0	0	0	0	0
CRYAB	0	3	0	0	0	0	0
HOXC10	0	2	0	0	0	0	0
IRX4	0	2	0	0	0	0	0
HTR3B	0	3	0	0	0	0	0
IHH	0	1	0	0	0	0	0
CHRM5	0	3	0	0	0	0	0
CHRM2	0	2	0	0	0	0	0
EGFR	0	2	0	0	0	0	0
PAK4	0	4	0	0	0	0	0
GABRB2	0	2	0	0	0	0	0
SOX13	0	3	0	0	0	0	0
PTPRT	0	4	0	0	0	0	0
ERN2	0	1	0	0	0	0	0
PAK3	0	3	0	0	0	0	0
PRKG2	0	1	0	0	0	0	0
HNF1B	0	3	0	0	0	0	0
TEK	0	1	0	0	0	0	0
HRH3	0	2	0	0	0	0	0
ASH1L	0	1	0	0	0	0	0
GRPR	0	4	0	0	0	0	0
EFS	0	3	0	0	0	0	0
CHRNB2	0	2	0	0	0	0	0
NPAS2	0	1	0	0	0	0	0
PTN	0	4	0	0	0	0	0
NODAL	0	3	0	0	0	0	0
RORC	0	2	0	0	0	0	0
PLCD1	0	1	0	0	0	0	0
CAV3	0	4	0	0	0	0	0
ANK2	0	2	0	0	0	0	0
FGF23	0	4	0	0	0	0	0
HIST1H4I	0	2	0	0	0	0	0
CCL16	0	1	0	0	0	0	0
KIR3DL1	0	4	0	0	0	0	0
MAP3K19	0	3	0	0	0	0	0
CRTC1	0	2	0	0	0	0	0
ASAP3	0	4	0	0	0	0	0
YBX2	0	4	0	0	0	0	0
ABCG4	0	2	0	0	0	0	0
RHO	0	5	0	0	0	0	0
FOXG1	0	2	0	0	0	0	0
CREB3L1	0	4	0	0	0	0	0
PPP1R13L	0	2	0	0	0	0	0
CCKBR	0	3	0	0	0	0	0
FGA	0	4	0	0	0	0	0
GRB7	0	2	0	0	0	0	0
ENPP1	0	4	0	0	0	0	0
MADCAM1	0	3	0	0	0	0	0
MYOD1	0	2	0	0	0	0	0
GLI3	0	5	0	0	0	0	0
IGHMBP2	0	1	0	0	0	0	0
CACNA1I	0	3	0	0	0	0	0
NGFR	0	3	0	0	0	0	0
CNGB3	0	3	0	0	0	0	0
HOXC4	0	3	0	0	0	0	0
PAX6	0	3	0	0	0	0	0
ADRA1A	0	1	0	0	0	0	0
CXCR6	0	2	0	0	0	0	0
NHLH1	0	3	0	0	0	0	0
PLXNB3	0	3	0	0	0	0	0
DTX3	0	2	0	0	0	0	0
RGS6	0	3	0	0	0	0	0
OR52A1	0	4	0	0	0	0	0
TBX5	0	3	0	0	0	0	0
NEUROD4	0	4	0	0	0	0	0
