"xGene"	"ma_vitro"	"hm_vitro"	"ma_vivo"	"hm_vivo"	"group"
"Mm Cdk1"	1	1	0	1	"shared"
"Mm Cdk5r1"	1	1	0	0	"vitro_only"
"Mm Cdk5rap3"	1	1	0	1	"shared"
"Mm Cdk6"	1	1	1	0	"shared"
"Mm Cdk9"	1	0	0	0	"vitro_only"
"Mm Cds2"	1	0	0	0	"vitro_only"
"Mm Cdt1"	1	0	0	0	"vitro_only"
"Mm Cenpa"	1	1	0	0	"vitro_only"
"Mm Cenpe"	1	1	0	0	"vitro_only"
"Mm Cenph"	1	0	0	0	"vitro_only"
"Mm Cenpi"	1	0	0	0	"vitro_only"
"Mm Cenpl"	1	0	0	0	"vitro_only"
"Mm Cenpm"	1	1	0	0	"vitro_only"
"Mm Cenpn"	1	1	0	0	"vitro_only"
"Mm Cenpo"	1	1	0	0	"vitro_only"
"Mm Cenpw"	1	0	0	0	"vitro_only"
"Mm Cept1"	1	1	0	0	"vitro_only"
"Mm Chaf1a"	1	0	0	1	"shared"
"Mm Chchd4"	1	0	0	0	"vitro_only"
"Mm Chd4"	1	0	0	0	"vitro_only"
"Mm Chd8"	1	0	0	0	"vitro_only"
"Mm Chek1"	1	0	0	0	"vitro_only"
"Mm Chmp5"	1	0	1	0	"shared"
"Mm Chmp6"	1	0	0	0	"vitro_only"
"Mm Chpt1"	1	0	0	0	"vitro_only"
"Mm Ciao1"	1	0	0	0	"vitro_only"
"Mm Cinp"	1	0	0	0	"vitro_only"
"Mm Cirh1a"	1	1	1	0	"shared"
"Mm Ckap5"	1	0	0	0	"vitro_only"
"Mm Clasrp"	1	1	0	1	"shared"
"Mm Clns1a"	1	0	0	0	"vitro_only"
"Mm Clp1"	1	0	0	1	"shared"
"Mm Cltc"	1	1	0	0	"vitro_only"
"Mm Cmas"	1	0	0	0	"vitro_only"
"Mm Cmpk1"	1	1	0	0	"vitro_only"
"Mm Cmtr1"	1	0	1	1	"shared"
"Mm Cmtr2"	1	0	0	0	"vitro_only"
"Mm Cnbp"	1	0	0	0	"vitro_only"
"Mm Cnot10"	1	0	0	0	"vitro_only"
"Mm Cnot3"	1	1	0	0	"vitro_only"
"Mm Coasy"	1	1	0	0	"vitro_only"
"Mm Cog6"	1	0	0	0	"vitro_only"
"Mm Cog7"	1	0	0	1	"shared"
"Mm Coil"	1	0	0	0	"vitro_only"
"Mm Col24a1"	1	0	0	0	"vitro_only"
"Mm Commd3"	1	1	0	0	"vitro_only"
"Mm Commd4"	1	0	0	0	"vitro_only"
"Mm Commd5"	1	0	0	0	"vitro_only"
"Mm Commd8"	1	0	0	0	"vitro_only"
"Mm Copa"	1	1	0	0	"vitro_only"
"Mm Copb2"	1	0	0	1	"shared"
"Mm Cops2"	1	0	0	0	"vitro_only"
"Mm Cops3"	1	0	0	0	"vitro_only"
"Mm Cops4"	1	1	0	0	"vitro_only"
"Mm Cops5"	1	0	0	1	"shared"
"Mm Cops6"	1	1	0	0	"vitro_only"
"Mm Coq3"	1	1	1	1	"shared"
"Mm Coro1c"	1	0	0	0	"vitro_only"
"Mm Cox10"	1	0	1	1	"shared"
"Mm Cox15"	1	1	1	0	"shared"
"Mm Cox19"	1	1	1	0	"shared"
"Mm Cox6c"	1	1	0	0	"vitro_only"
"Mm Cpox"	1	1	1	1	"shared"
"Mm Cpsf1"	1	1	0	0	"vitro_only"
"Mm Cpsf2"	1	1	0	1	"shared"
"Mm Cpsf3l"	1	1	0	0	"vitro_only"
"Mm Cpsf3"	1	0	0	0	"vitro_only"
"Mm Cpsf4"	1	0	1	1	"shared"
"Mm Cpsf6"	1	0	0	0	"vitro_only"
"Mm Crcp"	1	1	0	0	"vitro_only"
"Mm Crls1"	1	1	0	0	"vitro_only"
"Mm Crnkl1"	1	1	0	1	"shared"
"Mm Csde1"	1	1	0	0	"vitro_only"
"Mm Cse1l"	1	1	0	0	"vitro_only"
"Mm Csnk1a1"	1	1	0	1	"shared"
"Mm Csnk1d"	1	0	0	1	"shared"
"Mm Csnk2b"	1	1	0	0	"vitro_only"
"Mm Csprs"	1	0	0	0	"vitro_only"
"Mm Csrp2bp"	1	0	0	0	"vitro_only"
"Mm Cstf1"	1	1	0	0	"vitro_only"
"Mm Cstf2"	1	0	0	0	"vitro_only"
"Mm Ctcf"	1	1	0	0	"vitro_only"
"Mm Ctdp1"	1	0	0	0	"vitro_only"
"Mm Ctdsp2"	1	0	0	0	"vitro_only"
"Mm Ctnnbl1"	1	0	1	0	"shared"
"Mm Ctps"	1	0	0	0	"vitro_only"
"Mm Ctr9"	1	0	0	1	"shared"
"Mm Ctsa"	1	0	0	0	"vitro_only"
"Mm Ctu1"	1	0	1	0	"shared"
"Mm Cul2"	1	1	1	0	"shared"
"Mm Cwc15"	1	1	0	0	"vitro_only"
"Mm Cxcl9"	1	0	0	0	"vitro_only"
"Mm Cxxc1"	1	0	1	0	"shared"
"Mm Cyc1"	1	1	0	0	"vitro_only"
"Mm D10Wsu102e"	1	0	0	0	"vitro_only"
"Mm D14Abb1e"	1	0	1	0	"shared"
"Mm D2Wsu81e"	1	0	0	0	"vitro_only"
"Mm Dad1"	1	0	0	0	"vitro_only"
"Mm Dars2"	1	1	1	1	"shared"
"Mm Dars"	1	0	0	1	"shared"
"Mm Dbr1"	1	1	0	0	"vitro_only"
"Mm Dcaf7"	1	1	0	0	"vitro_only"
"Mm Dclk2"	1	0	0	0	"vitro_only"
"Mm Dclre1b"	1	0	0	0	"vitro_only"
"Mm Dcp1a"	1	0	0	0	"vitro_only"
"Mm Dcp2"	1	0	0	0	"vitro_only"
"Mm Dcps"	1	1	0	0	"vitro_only"
"Mm Dctd"	1	0	0	0	"vitro_only"
"Mm Dctn2"	1	1	0	1	"shared"
"Mm Dctn3"	1	1	0	1	"shared"
"Mm Dctn4"	1	0	0	0	"vitro_only"
"Mm Dctn6"	1	1	0	0	"vitro_only"
"Mm Ddb1"	1	0	0	1	"shared"
"Mm Ddost"	1	0	0	1	"shared"
"Mm Ddx10"	1	0	0	0	"vitro_only"
"Mm Ddx18"	1	0	0	0	"vitro_only"
"Mm Ddx1"	1	0	0	0	"vitro_only"
"Mm Ddx20"	1	1	1	0	"shared"
"Mm Ddx21"	1	1	0	0	"vitro_only"
"Mm Ddx23"	1	1	0	0	"vitro_only"
"Mm Ddx24"	1	1	0	1	"shared"
"Mm Ddx28"	1	1	0	0	"vitro_only"
"Mm Ddx31"	1	1	1	0	"shared"
"Mm Ddx39b"	1	0	1	1	"shared"
"Mm Ddx41"	1	0	0	0	"vitro_only"
"Mm Ddx42"	1	0	0	0	"vitro_only"
"Mm Ddx47"	1	1	0	0	"vitro_only"
"Mm Ddx49"	1	0	0	0	"vitro_only"
"Mm Ddx51"	1	1	0	0	"vitro_only"
"Mm Ddx52"	1	0	0	1	"shared"
"Mm Ddx54"	1	1	0	0	"vitro_only"
"Mm Ddx55"	1	0	0	0	"vitro_only"
"Mm Ddx56"	1	0	0	0	"vitro_only"
"Mm Ddx59"	1	1	0	0	"vitro_only"
"Mm Ddx5"	1	1	1	0	"shared"
"Mm Ddx6"	1	1	0	0	"vitro_only"
"Mm Dennd4a"	1	0	1	0	"shared"
"Mm Dgcr8"	1	0	0	0	"vitro_only"
"Mm Dhdds"	1	1	0	0	"vitro_only"
"Mm Dhodh"	1	0	0	0	"vitro_only"
"Mm Dhps"	1	1	0	1	"shared"
"Mm Dhrs7b"	1	1	0	0	"vitro_only"
"Mm Dhrsx"	1	0	0	1	"shared"
"Mm Dhx15"	1	0	0	1	"shared"
"Mm Dhx33"	1	1	0	1	"shared"
"Mm Dhx35"	1	0	0	0	"vitro_only"
"Mm Dhx36"	1	1	1	1	"shared"
"Mm Dhx37"	1	0	0	0	"vitro_only"
"Mm Dhx8"	1	1	0	0	"vitro_only"
"Mm Dhx9"	1	0	0	0	"vitro_only"
"Mm Dicer1"	1	0	0	0	"vitro_only"
"Mm Dimt1"	1	0	0	0	"vitro_only"
"Mm Dis3"	1	1	0	0	"vitro_only"
"Mm Dkc1"	1	0	0	0	"vitro_only"
"Mm Dlst"	1	0	0	1	"shared"
"Mm Dmap1"	1	1	1	1	"shared"
"Mm Dna2"	1	1	0	0	"vitro_only"
"Mm Dnaja2"	1	0	1	0	"shared"
"Mm Dnaja3"	1	1	0	0	"vitro_only"
"Mm Dnajb6"	1	0	1	0	"shared"
"Mm Dnajc11"	1	0	0	0	"vitro_only"
"Mm Dnajc13"	1	1	0	0	"vitro_only"
"Mm Dnajc17"	1	1	0	1	"shared"
"Mm Dnajc21"	1	0	1	1	"shared"
"Mm Dnajc24"	1	0	1	0	"shared"
"Mm Dnajc2"	1	0	0	0	"vitro_only"
"Mm Dnajc8"	1	1	1	0	"shared"
"Mm Dnlz"	1	1	0	0	"vitro_only"
"Mm Dnm2"	1	1	0	0	"vitro_only"
"Mm Dock1"	1	0	0	1	"shared"
"Mm Dohh"	1	0	0	0	"vitro_only"
"Mm Dolk"	1	1	0	0	"vitro_only"
"Mm Donson"	1	0	0	0	"vitro_only"
"Mm Dot1l"	1	0	0	0	"vitro_only"
"Mm Dpep3"	1	0	0	0	"vitro_only"
"Mm Dph2"	1	0	0	0	"vitro_only"
"Mm Dph5"	1	1	1	1	"shared"
"Mm Dtl"	1	1	0	1	"shared"
"Mm Dtymk"	1	1	0	0	"vitro_only"
"Mm Dusp12"	1	1	0	1	"shared"
"Mm Dut"	1	1	0	1	"shared"
"Mm Dync1i2"	1	1	0	0	"vitro_only"
"Mm Dynlrb1"	1	1	1	1	"shared"
"Mm E130309D02Rik"	1	0	1	0	"shared"
"Mm E2f4"	1	0	0	0	"vitro_only"
"Mm E430025E21Rik"	1	0	0	0	"vitro_only"
"Mm Ears2"	1	1	0	0	"vitro_only"
"Mm Ecd"	1	1	0	0	"vitro_only"
"Mm Echdc3"	1	0	0	0	"vitro_only"
"Mm Ecsit"	1	1	0	1	"shared"
"Mm Ect2"	1	1	0	0	"vitro_only"
"Mm Edc3"	1	0	0	0	"vitro_only"
"Mm Edc4"	1	0	0	0	"vitro_only"
"Mm Eef1a1"	1	1	0	0	"vitro_only"
"Mm Eef1e1"	1	0	0	0	"vitro_only"
"Mm Eef2"	1	1	0	0	"vitro_only"
"Mm Efr3a"	1	1	0	0	"vitro_only"
"Mm Eftud1"	1	0	1	0	"shared"
"Mm Eftud2"	1	0	0	0	"vitro_only"
"Mm Eif1ad"	1	0	0	0	"vitro_only"
"Mm Eif2b1"	1	0	0	0	"vitro_only"
"Mm Eif2b2"	1	1	1	0	"shared"
"Mm Eif2b3"	1	0	0	0	"vitro_only"
"Mm Eif2b4"	1	0	0	0	"vitro_only"
"Mm Eif2b5"	1	1	1	1	"shared"
"Mm Eif2s1"	1	1	0	0	"vitro_only"
"Mm Eif2s2"	1	0	1	0	"shared"
"Mm Eif2s3x"	1	1	0	0	"vitro_only"
"Mm Eif3a"	1	0	0	0	"vitro_only"
